,id,scientific_name,sc_name_corr
4,5.0,Acer nigrum,Acer nigrum
6,7.0,Acer palmatum,Acer palmatum
7,433.0,Acer palmatum,Acer palmatum
10,10.0,Acer platanoides,Acer platanoides
11,168.0,Acer platanoides,Acer platanoides
13,438.0,Acer rubrum,Acer rubrum
14,39158.0,Acer rubrum,Acer rubrum
15,39160.0,Acer rubrum,Acer rubrum
16,39161.0,Acer rubrum,Acer rubrum
18,13.0,Acer xfreemanii,Acer freemanii
21,16.0,Aesculus xcarnea,Aesculus carnea
22,792.0,Aesculus xcarnea,Aesculus carnea
23,39163.0,Aesculus carnea,Aesculus carnea
29,22.0,Arctostaphylos manzanita,Arctostaphylos manzanita
31,4562.0,Betula nigra,Betula nigra
33,4565.0,Betula pendula,Betula pendula
35,26.0,Callistemon rugulosus,Callistemon rugulosus
37,39177.0,Caryota maxima,Caryota maxima
39,29.0,Castanea sativa,Castanea sativa
43,33.0,Cercis canadensis,Cercis canadensis
44,34.0,Cercis canadensis,Cercis canadensis
45,7877.0,Cercis canadensis,Cercis canadensis
47,36.0,Chorisia speciosa,Chorisia speciosa
53,44.0,Citrus xlimon,Citrus limon
57,46.0,Citrus,Citrus
58,47.0,Citrus,Citrus
59,48.0,Citrus,Citrus
60,39191.0,Citrus,Citrus
63,51.0,Crataegus laevigata,Crataegus laevigata
64,52.0,Crataegus laevigata,Crataegus laevigata
65,10091.0,Crataegus laevigata,Crataegus laevigata
67,54.0,Crataegus,Crataegus
69,10659.0,xCupressocyparis leylandii,Cupressocyparis leylandii
72,39206.0,Eriobotrya deflexa,Eriobotrya deflexa
74,14905.0,Eucalyptus sideroxylon,Eucalyptus sideroxylon
78,62.0,Ficus carica,Ficus carica
79,63.0,Ficus carica,Ficus carica
80,15513.0,Ficus carica,Ficus carica
81,39208.0,Ficus carica,Ficus carica
83,15520.0,Ficus microcarpa,Ficus microcarpa
85,66.0,Fraxinus americana,Fraxinus americana
86,15786.0,Fraxinus americana,Fraxinus americana
88,15807.0,Fraxinus uhdei,Fraxinus uhdei
90,69.0,Fraxinus velutina,Fraxinus velutina
91,39219.0,Fraxinus velutina,Fraxinus velutina
93,39221.0,Fraxinus,Fraxinus
94,39222.0,Fraxinus,Fraxinus
97,73.0,Garrya elliptica,Garrya elliptica
98,39223.0,Garrya elliptica,Garrya elliptica
100,75.0,Gleditsia triacanthos,Gleditsia triacanthos
101,76.0,Gleditsia triacanthos,Gleditsia triacanthos
102,16524.0,Gleditsia triacanthos,Gleditsia triacanthos
103,16525.0,Gleditsia triacanthos,Gleditsia triacanthos
104,39231.0,Gleditsia triacanthos,Gleditsia triacanthos
106,78.0,Grevillea,Grevillea
111,83.0,Ilex xaltaclerensis,Ilex altaclerensis
114,86.0,Juglans,Juglans
116,39242.0,Juniperus scopulorum,Juniperus scopulorum
118,89.0,Lagerstroemia indica,Lagerstroemia indica
119,19850.0,Lagerstroemia indica,Lagerstroemia indica
121,91.0,Leptospermum scoparium,Leptospermum scoparium
122,92.0,Leptospermum scoparium,Leptospermum scoparium
123,20846.0,Leptospermum scoparium,Leptospermum scoparium
126,21508.0,Liquidambar styraciflua,Liquidambar styraciflua
127,39252.0,Liquidambar styraciflua,Liquidambar styraciflua
128,39253.0,Liquidambar styraciflua,Liquidambar styraciflua
132,99.0,Magnolia grandiflora,Magnolia grandiflora
133,100.0,Magnolia grandiflora,Magnolia grandiflora
134,22589.0,Magnolia grandiflora,Magnolia grandiflora
135,39255.0,Magnolia grandiflora,Magnolia grandiflora
136,39257.0,Magnolia grandiflora,Magnolia grandiflora
137,39258.0,Magnolia grandiflora,Magnolia grandiflora
138,39259.0,Magnolia grandiflora,Magnolia grandiflora
140,22595.0,Magnolia xsoulangiana,Magnolia soulangiana
143,104.0,Malus floribunda,Malus floribunda
144,22716.0,Malus floribunda,Malus floribunda
148,39151.0,Acacia baileyana,Acacia baileyana
153,112.0,Malus Red,Malus Red
159,118.0,Malus,Malus
160,119.0,Malus,Malus
161,22708.0,Malus,Malus
162,39265.0,Malus,Malus
163,39266.0,Malus,Malus
167,23566.0,Michelia doltsopa,Michelia doltsopa
170,125.0,Michelia xfoggii,Michelia foggii
172,24111.0,Morus alba,Morus alba
174,24323.0,Myoporum laetum,Myoporum laetum
176,129.0,Olea europaea,Olea europaea
177,130.0,Olea europaea,Olea europaea
178,131.0,Olea europaea,Olea europaea
179,132.0,Olea europaea,Olea europaea
180,25169.0,Olea europaea,Olea europaea
182,134.0,Persea americana,Persea americana
183,27054.0,Persea americana,Persea americana
188,29333.0,Populus nigra,Populus nigra
189,39307.0,Populus nigra,Populus nigra
196,39313.0,Prunus domestica,Prunus domestica
198,39327.0,Prunus spinosa,Prunus spinosa
200,39308.0,Prunus blireiana,Prunus blireiana
202,29848.0,Prunus xyedoensis,Prunus yedoensis
203,39328.0,Prunus yedoensis,Prunus yedoensis
206,39332.0,Punica granatum,Punica granatum
208,151.0,Pyracantha koidzumii,Pyracantha koidzumii
210,153.0,Pyrus communis,Pyrus communis
212,39344.0,Pyrus pyrifolia,Pyrus pyrifolia
215,39348.0,Quercus frainetto,Quercus frainetto
219,31090.0,Rhaphiolepis indica,Rhaphiolepis indica
221,31647.0,Robinia xambigua,Robinia ambigua
222,39351.0,Robinia ambigua,Robinia ambigua
226,37443.0,Tristaniopsis laurina,Tristaniopsis laurina
228,37624.0,Ulmus procera,Ulmus procera
255,39176.0,Carpinus betulus,Carpinus betulus
275,39203.0,Dodonaea viscosa,Dodonaea viscosa
293,16466.0,Ginkgo biloba,Ginkgo biloba
294,39226.0,Ginkgo biloba,Ginkgo biloba
295,39227.0,Ginkgo biloba,Ginkgo biloba
296,39228.0,Ginkgo biloba,Ginkgo biloba
308,39245.0,Laurus nobilis,Laurus nobilis
318,39278.0,Maytenus boaria,Maytenus boaria
348,29313.0,Populus xcanadensis,Populus canadensis
350,39310.0,Prunus cerasifera,Prunus cerasifera
351,39312.0,Prunus cerasifera,Prunus cerasifera
356,39319.0,Prunus serrulata,Prunus serrulata
357,39320.0,Prunus serrulata,Prunus serrulata
358,39321.0,Prunus serrulata,Prunus serrulata
359,39325.0,Prunus serrulata,Prunus serrulata
362,30504.0,Pyrus calleryana,Pyrus calleryana
363,39336.0,Pyrus calleryana,Pyrus calleryana
364,39337.0,Pyrus calleryana,Pyrus calleryana
365,39338.0,Pyrus calleryana,Pyrus calleryana
366,39339.0,Pyrus calleryana,Pyrus calleryana
367,39341.0,Pyrus calleryana,Pyrus calleryana
368,39342.0,Pyrus calleryana,Pyrus calleryana
386,39354.0,Sequoia sempervirens,Sequoia sempervirens
388,39356.0,Sequoiadendron giganteum,Sequoiadendron giganteum
394,35911.0,Taxus baccata,Taxus baccata
401,37623.0,Ulmus parvifolia,Ulmus parvifolia
402,39361.0,Ulmus parvifolia,Ulmus parvifolia
403,39362.0,Ulmus parvifolia,Ulmus parvifolia
417,39182.0,Cedrus atlantica,Cedrus atlantica
434,39302.0,Platanus acerifolia,Platanus acerifolia
435,39303.0,Platanus acerifolia,Platanus acerifolia
436,39304.0,Platanus acerifolia,Platanus acerifolia
449,,,
450,,,
